,Reaction 1,Reaction 2,fba_simulation
101,HMR_2687,HMR_10036,2.0359220115642405
102,HMR_2846,HMR_10036,2.0359220115642405
103,HMR_3650,HMR_10036,2.0359220115642405
104,HMR_3638,HMR_10036,2.0359220115637777
105,HMR_10036,HMR_3677,2.0359220115642405
106,HMR_2693,HMR_10036,2.0359220115642405
107,HMR_10036,HMR_3595,2.0359220115642405
108,HMR_2915,HMR_10036,2.0359220115642405
109,HMR_2909,HMR_10036,2.0359220115642405
110,HMR_2926,HMR_10036,2.0359220115642405
111,HMR_3594,HMR_10036,2.0359220115642405
112,HMR_3556,HMR_10036,2.0359220115637777
113,HMR_2917,HMR_10036,2.0359220115637777
114,HMR_2790,HMR_10036,2.0359220115637777
115,HMR_10036,HMR_2842,2.0359220115637777
116,HMR_10036,HMR_3557,2.0359220115637777
117,HMR_3569,HMR_10036,2.0359220115637777
118,HMR_2844,HMR_10036,2.0359220115637777
119,HMR_3562,HMR_10036,2.0359220115637777
120,HMR_10036,HMR_3683,2.0359220115637777
121,HMR_2923,HMR_10036,2.0359220115637777
122,HMR_3579,HMR_10036,2.0359220115637777
123,HMR_2932,HMR_10036,2.0359220115637777
124,HMR_3582,HMR_10036,2.0359220115637777
125,HMR_2794,HMR_10036,2.0359220115637777
126,HMR_2906,HMR_10036,2.0359220115637777
127,HMR_2812,HMR_10036,2.0359220115637777
128,HMR_2800,HMR_10036,2.0359220115637777
129,HMR_3541,HMR_10036,2.0359220115637777
130,HMR_3568,HMR_10036,2.0359220115637777
131,HMR_2927,HMR_10036,2.0359220115637777
132,HMR_2929,HMR_10036,2.0359220115637777
133,HMR_3592,HMR_10036,2.0359220115637777
134,HMR_3566,HMR_10036,2.0359220115637777
135,HMR_2832,HMR_10036,2.0359220115637777
136,HMR_3583,HMR_10036,2.0359220115637777
137,HMR_2834,HMR_10036,2.0359220115637777
138,HMR_2921,HMR_10036,2.0359220115637777
139,HMR_3671,HMR_10036,2.0359220115637777
140,HMR_2788,HMR_10036,2.0359220115637777
141,HMR_3656,HMR_10036,2.0359220115637777
142,HMR_3659,HMR_10036,2.0359220115637777
143,HMR_2830,HMR_10036,2.0359220115637777
144,HMR_2894,HMR_2602,2.0359220115637777
145,C181CPT1,HMR_0259,2.0359220115637777
146,HMR_3668,HMR_10036,2.0359220115637777
147,HMR_3679,HMR_10036,2.0359220115637777
148,HMR_3658,HMR_10036,2.0359220115637777
149,HMR_3655,HMR_10036,2.0359220115637777
150,HMR_3646,HMR_10036,2.0359220115637777
151,HMR_3667,HMR_10036,2.0359220115637777
