,Reaction 1,Reaction2
386,HMR_2330,RE3227R
387,RE3242R,DESAT18_3
388,RE3227R,HMR_2324
389,HMR_2296,HMR_10036
390,RE3227R,HMR_2326
391,HMR_1465,C3STKR2r
392,HMR_2162,HMR_2654
393,HMR_1467,r0780
394,HMR_2296,HMR_2292
395,HMR_2296,HMR_0284
396,HMR_0264,HMR_2295
397,HMR_4156,HMR_7672
398,r1253,HMR_2171
399,HMR_0264,HMR_0349
400,HMR_2328,RE3224R
401,HMR_2330,RE3224R
402,HMR_2330,RE3241R
403,HMR_1473,LNSTLSr
404,HMR_2328,HMR_2914
405,r1313,HMR_2654
406,RE3229R,HMR_2324
407,HMR_2324,HMR_2914
408,HMR_3117,FAOXC180
409,HMR_1467,r0781
410,HMR_2154,HMR_2654
411,HMR_2326,RE3224R
412,HMR_1467,C3STKR2r
413,HMR_4156,HMR_7673
414,r0780,HMR_1473
415,FAOXC180,HMR_3115
416,HMR_1473,r0781
417,r1253,HMR_2164
418,HMR_2654,HMR_2180
419,HMR_0781,HMR_2295
420,HMR_2654,HMR_2153
421,HMR_1467,SQLEr
422,HMR_0781,HMR_0349
423,RE3228R,DESAT18_3
424,HMR_2626,HMR_2803
425,RE3234R,HMR_2330
426,RE3229R,HMR_2330
427,DESAT18_3,RE3231R
428,RE3243R,HMR_2324
429,HMR_2150,HMR_2654
430,r1253,HMR_2169
431,HMR_3984,RE3147C
432,HMR_2167,HMR_2819
433,DESAT18_3,HMR_2640
434,RE3225R,HMR_2326
435,RE3225R,DESAT18_3
436,r1253,r1316
437,r1253,HMR_2180
438,HMR_2654,HMR_2161
439,HMR_2328,HMR_2599
440,HMR_1467,LSTO1r
441,HMR_2785,HMR_2330
442,HMR_2326,HMR_2640
443,r1253,HMR_2163
444,HMR_3118,FAOXC180
445,r1253,HMR_2152
446,r1253,HMR_2161
447,HMR_2328,RE3225R
448,r1253,r1314
449,HMR_1473,C3STKR2r
450,HMR_2328,RE3241R
451,HMR_1470,LSTO1r
452,HMR_2819,HMR_2152
453,HMR_2330,HMR_2914
454,r1253,HMR_2179
455,HMR_2654,r1316
456,HMR_2654,HMR_2175
457,HMR_1470,r0781
458,r0780,HMR_1470
459,HMR_1473,LSTO1r
460,HMR_2654,HMR_2156
461,HMR_2295,HMR_2191
462,HMR_2328,HMR_2809
463,HMR_0349,HMR_10036
464,HMR_2295,HMR_0332
465,HMR_1465,LSTO1r
466,HMR_1470,LNSTLSr
467,HMR_1470,SQLEr
468,FAEL184,HMR_2480
469,RE3242R,HMR_2326
470,HMR_1470,C3STKR2r
471,HMR_2296,HMR_0268
472,HMR_2296,HMR_0271
473,HMR_0746,HMR_0192
474,RE3242R,HMR_2324
475,HMR_0284,HMR_0349
476,r1317,HMR_2654
477,HMR_2809,HMR_2324
478,r1253,HMR_2175
479,HMR_2296,HMR_0332
480,r1253,r1317
481,HMR_2296,HMR_0746
482,HMR_2190,HMR_2295
483,HMR_0268,HMR_0349
484,r1253,HMR_2156
485,HMR_0284,HMR_2295
486,HMR_2654,HMR_2171
487,RE3232R,HMR_2326
488,HMR_2295,HMR_2193
489,HMR_2324,RE3224R
490,r1253,HMR_2165
491,r1253,HMR_2159
492,RE3241R,HMR_2324
493,RE3229R,HMR_2328
494,HMR_2160,HMR_2654
495,HMR_2604,FAS120COA
496,HMR_2174,HMR_2819
497,HMR_10033,HMR_0192
498,HMR_2296,HMR_10033
499,r1253,HMR_2158
500,HMR_2295,FACOAL1813
501,RE3244R,HMR_2330
502,RE3235R,HMR_2330
503,RE3228R,HMR_2330
504,HMR_2654,HMR_2163
505,HMR_2328,RE3234R
506,r1253,HMR_2150
507,HMR_3123,FAOXC16C14m
508,HMR_2330,HMR_2640
509,HMR_2654,r1314
510,HMR_2330,RE3236R
511,HMR_1467,LNSTLSr
512,FAOXC16C14m,HMR_3122
513,HMR_2526,HMR_2599
514,DESAT18_3,HMR_3984
515,HMR_2819,HMR_2161
516,HMR_2654,HMR_2152
517,HMR_2166,HMR_2654
518,HMR_2819,HMR_2180
519,HMR_2912,HMR_2330
520,r1313,HMR_2819
521,HMR_2785,HMR_2528
522,HMR_2819,HMR_2176
523,r1317,HMR_2819
524,HMR_2819,r1314
525,HMR_2912,HMR_2324
526,HMR_2912,HMR_2326
527,RE3242R,HMR_2330
528,HMR_2166,r1253
529,HMR_2328,HMR_2912
530,HMR_0284,HMR_10036
531,HMR_2654,HMR_2169
532,HMR_0636,HMR_4838
533,r0780,HMR_1465
534,HMR_2819,r1316
535,HMR_1465,r0781
536,HMR_0781,HMR_0192
537,HMR_1465,SQLEr
538,HMR_2528,RE3173R
539,HMR_2528,RE3176R
540,HMR_2528,RE3171R
541,HMR_2877,HMR_2528
542,HMR_2528,RE3112R
543,HMR_2602,FAS120COA
544,RE3235R,HMR_2324
545,HMR_2526,RE3106R
546,HMR_2526,RE3171R
547,HMR_2526,RE3174R
548,HMR_2526,RE3172R
549,HMR_2324,RE3236R
550,RE3113R,HMR_2528
551,HMR_2879,HMR_2528
552,FAEL205,HMR_2489
553,HMR_2654,HMR_2173
554,RE3113R,HMR_2526
555,RE3228R,HMR_2324
556,HMR_2526,RE3110R
557,HMR_2526,RE3173R
558,RE3244R,HMR_2324
559,HMR_1473,SQLEr
560,r1253,HMR_2157
561,RE3242R,HMR_2328
562,FAEL184,HMR_2482
563,HMR_2528,RE3106R
564,HMR_2526,RE3176R
565,LNSTLSr,HMR_1465
566,HMR_2654,HMR_2157
567,HMR_2526,RE3112R
568,HMR_2785,HMR_2324
569,HMR_2785,HMR_2328
570,HMR_2292,HMR_0272
571,HMR_2328,RE3243R
572,HMR_2330,RE3243R
573,HMR_2654,HMR_2165
574,HMR_0332,HMR_0192
575,HMR_4186,HMR_4131
576,HMR_3877,HMR_0636
577,RE3232R,HMR_2328
578,HMR_0332,HMR_0349
579,HMR_2528,RE3110R
580,HMR_4131,HMR_7465
581,HMR_0332,HMR_10036
582,HMR_2296,HMR_0758
583,RE3225R,HMR_2324
584,FAEL184,HMR_2478
585,RE3232R,HMR_2324
586,HMR_0758,HMR_0237
587,HMR_2328,HMR_2640
588,GRTTx,HMR_1460
589,HMR_8410,HMR_1040
590,HMR_1059,HMR_8410
591,HMR_1229,HMR_8410
592,HMR_8410,HMR_1344
593,HMR_8410,HMR_2455
594,HMR_1069,HMR_8410
595,HMR_0994,HMR_8410
596,HMR_8410,HMR_2556
597,RE3477C1,HMR_8410
598,HMR_8410,HMR_2552
599,HMR_1281,HMR_8410
600,HMR_1999,HMR_8410
601,HMR_8410,HMR_2565
602,HMR_8410,HMR_2469
603,HMR_8410,HMR_1073
604,HMR_8555,HMR_8410
605,HMR_8410,HMR_2580
606,HMR_1112,HMR_8410
607,HMR_8410,HMR_1318
608,HMR_8410,HMR_1257
609,HMR_8410,HMR_1122
