,Reaction 1,Reaction 2,fba_simulation
79,HMR_0409,HMR_8410,2.0359220115642405
80,HMR_8410,UGT1A10r,2.0359220115642405
81,HMR_0349,HMR_0748,2.035922011563952
82,r1253,HMR_2170,2.035922011563778
83,HMR_0781,HMR_8410,2.035922011563778
84,HMR_2326,RE3230R,2.0359220115637777
85,HMR_2328,RE3230R,2.0359220115642405
86,HMR_2330,RE3230R,2.0359220115642405
87,HMR_1467,DHCR71r,2.0359220115637777
88,HMR_1057,HMR_8410,2.0359220115637777
89,HMR_8410,HMR_0349,2.0359220115637777
90,HMR_8410,HMR_5043,2.0359220115642405
91,HMR_8410,HMR_1043,2.0359220115642405
92,HMR_2549,HMR_8410,2.0359220115642405
93,HMR_8410,HMR_1293,2.0359220115642405
94,HMR_4375,HMR_8772,2.0359220115637777
95,HMR_1000,HMR_8410,2.0359220115637777
96,HMR_2296,HMR_0264,2.0359220115637777
97,HMR_1197,HMR_8410,2.0359220115637777
98,HMR_8410,RE3476M,2.0359220115637777
99,HMR_8410,HMR_0963,2.0359220115637777
100,HMR_1470,DHCR71r,2.0359220115637777
101,HMR_1473,DHCR71r,2.0359220115637777
102,HMR_4730,HMR_8410,2.0359220115637777
103,HMR_10033,HMR_2295,2.0359220115637777
104,HMR_2295,HMR_0748,2.0359220115568557
105,HMR_1081,HMR_8410,2.0359220115568557
106,HMR_0932,HMR_8410,2.0359220115568557
107,HMR_1310,HMR_8410,2.0359220115568557
108,HMR_2296,HMR_0781,2.0359220115642405
109,HMR_8410,HMR_8549,2.0359220115637777
110,HMR_0264,HMR_10036,2.0359220115637777
111,HMR_8410,HMR_1037,2.0359220115637777
112,HMR_1995,HMR_8410,2.0359220115637777
113,HMR_2544,HMR_8410,2.0359220115637777
114,HMR_1048,HMR_8410,2.035922011562071
115,HMR_0781,HMR_10036,2.0359220115642405
116,HMR_3984,HMR_8410,2.0359220115642405
117,HMR_8547,HMR_8410,2.0359220115642405
118,HMR_1100,HMR_8410,2.0359220115642405
119,HMR_8410,HMR_0156,2.035922011564232
120,HMR_1465,DHCR71r,2.0359220115637777
121,HMR_1288,HMR_8410,2.0359220115637777
122,HMR_8410,HMR_1287,2.0359220115642405
123,HMR_2557,HMR_8410,2.0359220115642405
124,HMR_8410,HMR_1290,2.0359220115642405
125,HMR_8410,HMR_1186,2.0359220115642405
126,HMR_0779,HMR_0349,2.0359220115741925
127,HMR_4336,HMR_8410,2.0359220115642405
128,HMR_8410,HMR_1099,2.0359220115642263
129,HMR_8410,HMR_2579,2.0359220115642263
130,HMR_1105,HMR_8410,2.0359220115642263
131,HMR_2572,HMR_8410,2.0359220115642263
132,HMR_8410,HMR_0998,2.0359220115642263
133,HMR_8410,HMR_1198,2.0359220115642263
134,HMR_0943,HMR_8410,2.0359220115642263
135,HMR_8410,HMR_1292,2.0359220115642263
136,HMR_1109,HMR_8410,2.0359220115642263
137,HMR_8410,HMR_1289,2.0359220115642263
138,HMR_8410,HMR_1341,2.0359220115642263
139,HMR_8410,HMR_1149,2.0359220115642263
140,HMR_1103,HMR_8410,2.0359220115642263
141,HMR_1033,HMR_8410,2.0359220115642263
142,HMR_0951,HMR_8410,2.0359220115642263
143,HMR_0779,HMR_0192,2.0359220115642263
144,HMR_0590,HMR_0616,2.0359220115642405
145,HMR_2296,HMR_0779,2.0359220115648924
146,HMR_4338,HMR_8758,2.0359220115648924
147,HMR_4131,HMR_7468,2.0359220115642405
148,HMR_2324,RE3230R,2.0359220115642405
149,HMR_1150,HMR_8410,2.0359220115642405
150,HMR_0953,HMR_8410,2.0359220115642405
151,HMR_8410,HMR_0947,2.0359220115642405
152,HMR_0944,HMR_8410,2.0359220115642405
153,HMR_8410,HMR_2555,2.0359220115642405
154,HMR_1192,HMR_8410,2.0359220115642405
155,HMR_0931,HMR_8410,2.0359220115642405
156,HMR_2577,HMR_8410,2.0359220115642405
157,HMR_8410,HMR_1153,2.0359220115642405
158,HMR_8410,HMR_8556,2.0359220115642405
159,HMR_8410,HMR_0945,2.0359220115642405
160,HMR_8410,HMR_0957,2.0359220115642405
161,HMR_1294,HMR_8410,2.0359220115642405
162,HMR_0960,HMR_8410,2.0359220115642405
163,HMR_2551,HMR_8410,2.0359220115642405
164,HMR_2571,HMR_8410,2.0359220115642405
165,HMR_1049,HMR_8410,2.0359220115642405
166,HMR_8410,HMR_0999,2.0359220115642405
167,HMR_1944,HMR_8410,2.0359220115642405
168,HMR_0991,HMR_8410,2.0359220115642405
