,Reaction 1,Reaction 2,fba_simulation
95,HMR_3663,HMR_2282,2.0359220115637777
96,HMR_0267,HMR_2824,2.0359220115637777
97,HMR_2284,HMR_10037,2.0359220115642405
98,HMR_2633,HMR_3587,2.0359220115642405
99,HMR_2426,HMR_2768,2.0359220115642405
100,HMR_0349,HMR_0748,2.0359220115641246
101,HMR_0249,HMR_2819,2.0359220115641246
102,HMR_3587,HMR_0349,2.0359220115641246
103,HMR_3641,HMR_0267,2.0359220115623886
104,HMR_4577,HMR_4675,2.0359220115623886
105,HMR_3589,HMR_2633,2.0359220115623886
106,HMR_2154,HMR_2819,2.0359220115642405
107,HMR_10036,HMR_0748,2.0359220115642405
108,RE3242R,HMR_2294,2.0359220115641246
109,HMR_2174,HMR_2610,2.0359220115648924
110,HMR_2654,HMR_2167,2.0359220115642405
111,HMR_3576,HMR_2282,2.0359220115642405
112,r1253,HMR_0249,2.0359220115623886
113,HMR_2284,HMR_2824,2.0359220115648924
114,HMR_0748,HMR_0397,2.0359220115642405
115,HMR_3576,HMR_2633,2.0359220115642405
116,HMR_3581,HMR_0267,2.0359220115642405
117,HMR_3581,FACOAL1813,2.035922011563952
118,r1253,HMR_2150,2.0359220115642405
119,HMR_2284,HMR_3540,2.0359220115642405
120,HMR_2654,HMR_2181,2.0359220115642405
121,HMR_2785,HMR_2294,2.0359220115642405
122,HMR_2607,HMR_0192,2.0359220115642405
123,HMR_0217,HMR_2630,2.0359220115642405
124,HMR_2165,HMR_2819,2.0359220115642405
125,HMR_3589,HMR_0349,2.0359220115642405
126,HMR_2150,HMR_2819,2.0359220115642405
127,HMR_2654,HMR_2165,2.0359220115642405
128,r1253,r1317,2.0359220115642405
129,HMR_2785,HMR_2475,2.0359220115642405
130,HMR_3589,HMR_2282,2.0359220115642405
131,r1253,HMR_2173,2.0359220115642414
132,HMR_2604,HMR_2167,2.0359220115558863
133,HMR_1445,HMR_4630,2.0359220115549608
134,HMR_0623,HMR_0622,2.0359220115642405
135,HMR_2819,HMR_2153,2.0359220115642405
136,HMR_2604,HMR_2164,2.0359220115637777
137,HMR_2604,HMR_2155,2.0359220115642405
138,HMR_2174,HMR_2819,2.0359220115642405
139,HMR_0779,HMR_10036,2.03592201156424
140,HMR_3542,HMR_2282,2.03592201156424
141,HMR_2923,HMR_2282,2.03592201156424
142,HMR_2832,HMR_2282,2.03592201156424
143,HMR_3592,HMR_2282,2.03592201156424
144,HMR_3538,HMR_2282,2.0359220115637777
145,HMR_3560,HMR_2282,2.0359220115637777
146,HMR_2622,HMR_2282,2.0359220115637777
147,HMR_3671,HMR_2282,2.0359220115637777
148,HMR_3539,HMR_2282,2.0359220115637777
149,HMR_2800,HMR_2282,2.0359220115637777
150,HMR_2282,HMR_3231,2.0359220115637777
151,HMR_2282,HMR_2708,2.0359220115637777
152,HMR_2917,HMR_2282,2.0359220115637777
153,HMR_3568,HMR_2282,2.0359220115637777
154,HMR_3546,HMR_2282,2.0359220115637777
155,HMR_3629,HMR_2282,2.0359220115637777
156,HMR_2790,HMR_2282,2.0359220115637777
157,HMR_2282,HMR_3633,2.0359220115637777
158,HMR_2681,HMR_2282,2.0359220115637777
159,HMR_3561,HMR_2282,2.0359220115637777
160,HMR_2282,HMR_3647,2.0359220115637777
161,HMR_3649,HMR_2282,2.0359220115637777
162,HMR_2838,HMR_2282,2.0359220115637777
163,HMR_3630,HMR_2282,2.0359220115637777
164,HMR_2282,HMR_3637,2.0359220115637777
165,HMR_3635,HMR_2282,2.0359220115637777
166,HMR_2921,HMR_2282,2.0359220115637777
167,HMR_2282,HMR_2687,2.0359220115637777
168,HMR_3672,HMR_2282,2.0359220115637777
169,HMR_3676,HMR_2633,2.0359220115541024
170,HMR_2282,ELAIDCPT2,2.0359220115623886
171,r1253,r1315,2.0359220115623886
172,HMR_2604,HMR_2150,2.035922011562389
173,HMR_3645,HMR_2282,2.035922011562389
174,HMR_3659,HMR_0267,2.0359220115623886
175,HMR_2788,HMR_0267,2.0359220115623886
176,HMR_3631,HMR_0267,2.0359220115623886
177,HMR_2918,HMR_0267,2.0359220115623886
