,Reaction 1,Reaction2
690,HMR_3562,HMR_0397
691,HMR_3563,HMR_0267
692,HMR_2284,HMR_3549
693,HMR_2284,HMR_3669
694,HMR_0498,HMR_7588
695,HMR_3554,HMR_2284
696,HMR_7588,HMR_0504
697,HMR_3563,HMR_2284
698,HMR_2284,HMR_2788
699,HMR_5139,FACOAL1813
700,HMR_3564,HMR_2284
701,HMR_3564,HMR_0267
702,HMR_3554,HMR_0349
703,HMR_2284,HMR_3639
704,HMR_3574,HMR_0267
705,HMR_0528,HMR_7588
706,GRTTx,HMR_1460
707,HMR_3554,FACOAL1813
708,HMR_2844,HMR_2282
709,RE3164R,HMR_2423
710,HMR_3583,HMR_0267
711,HMR_2693,HMR_0267
712,HMR_0267,HMR_3647
713,HMR_2305,HMR_2599
714,HMR_3590,HMR_0267
715,HMR_2599,HMR_2478
716,HMR_3625,HMR_0267
717,HMR_3675,HMR_2282
718,HMR_3577,HMR_2633
719,HMR_2292,HMR_0327
720,HMR_3632,HMR_0267
721,HMR_2901,HMR_2423
722,HMR_7588,HMR_0526
723,HMR_3561,HMR_2284
724,HMR_2611,HMR_0267
725,HMR_2785,HMR_2515
726,HMR_2859,HMR_0349
727,HMR_3539,HMR_0397
728,HMR_2926,HMR_0267
729,HMR_3568,HMR_0267
730,HMR_2284,HMR_2872
731,HMR_2792,HMR_0267
732,HMR_3673,HMR_2282
733,HMR_2846,FACOAL1813
734,FACOAL1813,HMR_2842
735,FACOAL1813,HMR_3644
736,HMR_2790,FACOAL1813
737,HMR_2874,FACOAL1813
738,HMR_2924,FACOAL1813
739,HMR_3636,FACOAL1813
740,HMR_3681,FACOAL1813
741,HMR_2918,FACOAL1813
742,FACOAL1813,HMR_2651
743,HMR_3657,FACOAL1813
744,HMR_3555,FACOAL1813
745,FACOAL1813,ELAIDCPT2
746,HMR_2926,FACOAL1813
747,HMR_3631,FACOAL1813
748,FACOAL1813,HMR_2798
749,FACOAL1813,HMR_2930
750,HMR_3541,FACOAL1813
751,HMR_2622,FACOAL1813
752,HMR_3658,FACOAL1813
753,HMR_2872,FACOAL1813
754,HMR_2832,FACOAL1813
755,FACOAL1813,HMR_3679
756,FACOAL1813,HMR_3626
757,HMR_2906,FACOAL1813
758,HMR_2856,FACOAL1813
759,HMR_3648,FACOAL1813
760,HMR_3678,FACOAL1813
761,HMR_3538,FACOAL1813
762,FACOAL1813,HMR_3683
763,HMR_3562,FACOAL1813
764,HMR_2806,FACOAL1813
765,FACOAL1813,HMR_3559
766,HMR_3625,FACOAL1813
767,HMR_2681,FACOAL1813
768,HMR_2611,FACOAL1813
