,Reaction 1,Reaction2
345,HMR_0373,HMR_0192
346,HMR_0393,HMR_0192
347,HMR_0437,HMR_0192
348,HMR_0192,HMR_0337
349,HMR_0305,HMR_0192
350,HMR_0192,HMR_0293
351,LNS14DM,LSTO1r
352,LNS14DM,r0783
353,r0783,HMR_1526
354,HMR_1519,LSTO1r
355,HMR_1519,r0783
356,HMR_1503,r0783
357,HMR_1503,LSTO1r
358,LSTO1r,HMR_1509
359,HMR_1473,r1146
360,HMR_1473,LNSTLSr
361,r1380,HMR_1473
362,r0783,HMR_1516
363,HMR_1473,r1134
364,LSTO1r,HMR_1526
365,r0780,HMR_1473
366,HMR_1470,r0781
367,r0783,HMR_1484
368,HMR_0192,HMR_0313
369,HMR_0301,HMR_0192
370,HMR_0389,HMR_0192
371,HMR_0309,HMR_0192
372,HMR_0331,HMR_0192
373,HMR_0241,HMR_0192
374,HMR_0341,HMR_0192
375,HMR_0289,HMR_0192
376,HMR_0192,HMR_0255
377,HMR_0433,HMR_0192
378,HMR_0192,HMR_0417
379,HMR_0429,HMR_0192
380,HMR_1465,SQLEr
381,LSTO1r,HMR_1494
382,HMR_1505,LSTO1r
383,HMR_1505,r0783
384,r0783,HMR_1494
385,HMR_1473,r1135
386,HMR_1484,LSTO1r
387,HMR_1470,r1134
388,r0783,HMR_1504
389,LSTO1r,HMR_1504
390,HMR_0421,HMR_2295
391,HMR_2295,HMR_0389
392,HMR_2295,HMR_0255
393,HMR_0241,HMR_2295
394,HMR_2295,HMR_0369
395,DESAT18_5,HMR_2295
396,HMR_0361,HMR_8410
397,r0783,HMR_1509
398,HMR_1473,r0781
399,HMR_4185,HMR_4396
400,HMR_1473,r0783
401,C3STDH1r,HMR_1473
402,HMR_1473,LSTO1r
403,r1381,HMR_1473
404,HMR_1467,SQLEr
405,LSTO1r,HMR_1500
406,r0783,HMR_1500
407,HMR_4396,HMR_4084
408,HMR_8410,HMR_1293
409,HMR_1470,r1146
410,HMR_1470,r0783
411,HMR_1470,LSTO1r
412,r1381,HMR_1470
413,C3STDH1r,HMR_1470
414,HMR_4186,HMR_4396
415,HMR_1330,HMR_8410
416,HMR_1294,HMR_8410
417,HMR_1995,HMR_8410
418,HMR_8410,HMR_1018
419,HMR_0217,HMR_0213
420,HMR_8410,RE3470C
421,HMR_2544,HMR_8410
422,HMR_1470,r1135
423,LSTO1r,HMR_1516
