,Reaction 1,Reaction 2,fba_simulation
49,HMR_2982,HMR_2158,2.0359220115642405
50,HMR_2162,HMR_2982,2.0359220115642405
51,r1313,HMR_2982,2.0359220115642405
52,HMR_2173,HMR_2982,2.0359220115642405
53,HMR_2152,HMR_2982,2.0359220115642405
54,HMR_2168,HMR_2982,2.0359220115642405
55,HMR_2163,HMR_2982,2.0359220115642405
56,HMR_2150,HMR_2982,2.0359220115642405
57,HMR_2175,HMR_2982,2.0359220115642405
58,HMR_2176,HMR_2982,2.0359220115642405
59,HMR_2391,RE3147R,2.0359220115642405
60,HMR_2982,r1314,2.0359220115642405
61,HMR_2160,HMR_2982,2.0359220115642405
62,HMR_2169,HMR_2982,2.0359220115642405
63,HMR_2165,HMR_2982,2.0359220115642405
64,HMR_2324,HMR_8767,2.0359220115642405
65,HMR_2180,HMR_2982,2.0359220115642405
66,r1315,HMR_2982,2.0359220115642405
67,HMR_2174,HMR_2982,2.0359220115642405
68,HMR_2181,HMR_2982,2.0359220115642405
69,HMR_2330,HMR_8767,2.0359220115642405
70,HMR_2167,HMR_2982,2.0359220115642405
71,HMR_2326,HMR_8767,2.0359220115642405
72,HMR_8767,HMR_4527,2.0359220115642405
73,HMR_0623,HMR_0614,2.0359220115642405
74,HMR_2620,HMR_8767,2.0359220115642405
75,HMR_2179,HMR_2982,2.0359220115642405
76,HMR_2154,HMR_2982,2.0359220115642405
77,HMR_2178,HMR_2982,2.0359220115642405
78,HMR_2166,HMR_2982,2.0359220115642405
79,HMR_2154,HMR_2862,2.0359220115642405
80,HMR_2150,HMR_2862,2.0359220115642405
81,HMR_2982,HMR_2170,2.0359220115642405
82,HMR_2982,HMR_2161,2.0359220115642405
83,HMR_2157,HMR_2862,2.0359220115642405
84,HMR_2982,HMR_2155,2.0359220115642405
85,HMR_2179,HMR_2862,2.0359220115642405
86,HMR_2181,HMR_2862,2.0359220115642405
87,HMR_2152,HMR_2862,2.0359220115642405
88,HMR_2862,HMR_2161,2.0359220115642405
89,HMR_2681,HMR_2633,2.0359220115642405
90,HMR_2681,HMR_2620,2.0359220115642405
91,HMR_2862,HMR_2482,2.0359220115637777
92,HMR_2862,HMR_2170,2.0359220115637777
93,HMR_2862,HMR_2155,2.0359220115637777
94,r1317,HMR_2982,2.0359220115637777
95,r1253,HMR_2161,2.0359220115637777
96,r1253,HMR_2164,2.0359220115637777
97,r1253,r1314,2.0359220115637777
98,HMR_2164,HMR_2862,2.0359220115637777
99,r1253,HMR_2175,2.0359220115637777
100,HMR_2178,HMR_2862,2.0359220115637777
101,r1253,HMR_2153,2.0359220115637777
102,r1253,HMR_2179,2.0359220115637777
103,r1253,HMR_2158,2.0359220115637777
104,r1253,HMR_2178,2.0359220115637777
105,r1253,HMR_2157,2.0359220115637777
106,r1253,HMR_2155,2.0359220115637777
107,r1313,HMR_2862,2.0359220115637777
108,r1253,HMR_2168,2.0359220115637777
109,HMR_2862,HMR_2180,2.0359220115637777
110,r1253,HMR_2174,2.0359220115637777
111,r1253,HMR_2171,2.0359220115637777
112,HMR_2166,r1253,2.0359220115637777
113,HMR_2326,HMR_2862,2.0359220115637777
114,HMR_2154,r1253,2.0359220115637777
115,HMR_2164,HMR_2982,2.0359220115637777
116,HMR_2862,HMR_2153,2.0359220115637777
117,HMR_2681,HMR_2330,2.0359220115637777
118,r1253,HMR_2162,2.0359220115637777
119,HMR_2165,HMR_2862,2.0359220115637777
120,r1253,HMR_2169,2.0359220115637777
121,HMR_2159,HMR_2862,2.0359220115637777
122,HMR_2324,HMR_2862,2.0359220115637777
123,HMR_2862,HMR_2480,2.0359220115637777
124,HMR_2633,HMR_2862,2.0359220115637777
125,r1316,HMR_2982,2.0359220115637777
126,r1253,r1315,2.0359220115637777
127,HMR_2602,HMR_2862,2.0359220115642405
128,r1253,r1313,2.0359220115642405
129,HMR_2862,HMR_2475,2.0359220115642405
