,Reaction 1,Reaction 2,fba_simulation
48,HMR_0409,HMR_0192,2.035922011564241
49,HMR_0746,DESAT16_2,2.035922011564241
50,HMR_3078,DESAT16_2,2.035922011564241
51,HMR_0758,DESAT16_2,2.035922011564241
52,HMR_0779,DESAT16_2,2.035922011564241
53,HMR_3117,FAOXC180,2.0359220115642405
54,HMR_3125,FAOXC16C14m,2.0359220115642405
55,HMR_2656,HMR_3110,2.0359220115642405
56,HMR_2656,HMR_2704,2.0359220115642405
57,HMR_2656,HMR_3109,2.0359220115642405
58,HMR_3112,HMR_2656,2.0359220115642405
59,HMR_2656,HMR_2702,2.0359220115642405
60,HMR_2656,HMR_3114,2.0359220115642405
61,HMR_2656,HMR_3111,2.0359220115642405
62,HMR_8485,HMR_7572,2.0359220115642405
63,HMR_7571,HMR_8485,2.0359220115642405
64,HMR_2656,HMR_3113,2.0359220115642405
65,HMR_1194,HMR_8410,2.0359220115642405
66,HMR_3773,HMR_1573,2.0359220115642405
67,HMR_8485,HMR_7573,2.0359220115642405
68,HMR_2656,HMR_3107,2.0359220115642405
69,HMR_6923,HMR_1573,2.0359220115642405
70,HMR_2295,HMR_10036,2.0359220115642405
71,HMR_2295,HMR_0226,2.0359220115642405
72,DHCR71r,HMR_1516,2.035922011564124
73,HMR_1013,HMR_8410,2.035922011564124
74,HMR_0409,HMR_0213,2.0359220115637777
75,HMR_2585,HMR_8410,2.0359220115637777
76,HMR_0409,HMR_2295,2.0359220115637777
77,HMR_8557,HMR_8410,2.0359220115637777
78,HMR_7461,HMR_3944,2.0359220115637777
79,HMR_4358,HMR_8410,2.0359220115642405
80,HMR_8410,HMR_1010,2.0359220115637777
81,HMR_10036,HMR_0213,2.0359220115637777
82,HMR_0226,HMR_0213,2.0359220115641246
83,HMR_0192,HMR_10036,2.0359220115637777
84,HMR_1000,HMR_8410,2.0359220115637777
85,HMR_8410,HMR_1080,2.0359220115637777
86,UGT1A10c,HMR_8410,2.0359220115637777
87,HMR_0192,HMR_0226,2.0359220115637777
88,HMR_4018,HMR_8410,2.0359220115642405
89,HMR_1081,HMR_8410,2.0359220115642405
90,HMR_1503,DHCR71r,2.0359220115642405
91,DHCR71r,HMR_1504,2.0359220115642405
92,DHCR71r,HMR_1512,2.0359220115642405
93,HMR_1509,DHCR71r,2.0359220115642405
94,HMR_1526,DHCR71r,2.0359220115642405
95,HMR_1484,DHCR71r,2.0359220115642405
96,HMR_1490,DHCR71r,2.0359220115642405
97,HMR_4186,HMR_3944,2.0359220115642405
98,HMR_7466,HMR_3944,2.0359220115642405
99,HMR_7465,HMR_3944,2.0359220115642405
100,HMR_1465,DHCR71r,2.0359220115641246
101,HMR_1467,DHCR71r,2.0359220115641246
102,HMR_4084,HMR_3944,2.0359220115641246
103,HMR_4185,HMR_3944,2.0359220115641246
104,HMR_7467,HMR_3944,2.0359220115641246
105,HMR_1505,DHCR71r,2.0359220115637777
106,HMR_0377,HMR_2295,2.0359220115637777
107,HMR_0259,HMR_2295,2.0359220115637777
108,HMR_0196,HMR_2295,2.0359220115637777
109,HMR_0357,HMR_2295,2.0359220115637777
110,HMR_0365,HMR_2295,2.0359220115637777
111,HMR_0425,HMR_2295,2.0359220115637777
112,HMR_2295,HMR_0413,2.0359220115637777
113,HMR_2295,HMR_0353,2.0359220115639802
114,HMR_0188,HMR_2295,2.0359220115641246
115,HMR_2295,HMR_0209,2.0359220115641246
116,HMR_0361,HMR_2295,2.035922011564414
117,HMR_2295,HMR_0233,2.035922011564414
118,HMR_0429,HMR_2295,2.035922011564414
119,HMR_2295,HMR_0313,2.035922011564414
120,HMR_0245,HMR_2295,2.035922011564414
121,HMR_2295,HMR_0271,2.035922011564414
122,HMR_0433,HMR_2295,2.035922011564414
123,HMR_2295,HMR_0385,2.035922011564414
124,HMR_2295,HMR_0417,2.035922011564414
125,HMR_2295,HMR_0753,2.0359220115637777
126,HMR_2295,HMR_0773,2.0359220115637777
127,HMR_0405,HMR_2295,2.0359220115637777
128,HMR_10033,HMR_2295,2.0359220115637777
129,HMR_1473,DHCR71r,2.0359220115642405
130,HMR_0758,HMR_2295,2.0359220115642405
131,HMR_0781,HMR_2295,2.0359220115642405
132,HMR_1502,r0783,2.0359220115637777
133,HMR_2295,HMR_0748,2.0359220115637777
134,HMR_0779,HMR_2295,2.0359220115637777
135,HMR_2656,HMR_3108,2.035922011564241
136,HMR_0746,HMR_2295,2.035922011564241
