,Reaction 1,Reaction2
574,HMR_3632,HMR_2602
575,HMR_2866,HMR_2602
576,HMR_3576,HMR_2602
577,HMR_2633,HMR_3547
578,HMR_10036,HMR_3647
579,HMR_2633,HMR_2859
580,HMR_2602,HMR_3575
581,HMR_2733,HMR_2602
582,HMR_2736,HMR_2602
583,HMR_2602,HMR_2762
584,HMR_3675,HMR_2602
585,HMR_0425,C181CPT1
586,HMR_3668,HMR_2602
587,HMR_3680,HMR_2602
588,HMR_2602,HMR_3674
589,HMR_3540,HMR_2602
590,HMR_3638,HMR_2602
591,HMR_2930,HMR_2602
592,HMR_2602,HMR_3664
593,HMR_2602,HMR_3590
594,HMR_3569,HMR_2602
595,HMR_2602,HMR_2796
596,HMR_2602,HMR_3557
597,HMR_2602,HMR_3564
598,HMR_3553,HMR_2602
599,HMR_2814,HMR_2602
600,HMR_2602,HMR_2872
601,HMR_3639,HMR_2602
602,HMR_2669,HMR_2602
603,HMR_3673,HMR_2602
604,HMR_3588,HMR_2602
605,HMR_2602,HMR_3578
606,HMR_2824,HMR_2602
607,HMR_2599,HMR_2515
608,HMR_3589,HMR_2602
609,HMR_2918,HMR_2602
610,HMR_3547,HMR_2602
611,HMR_3565,HMR_2602
612,HMR_3560,HMR_2602
613,HMR_2836,HMR_2602
614,HMR_2648,HMR_2602
615,HMR_2602,HMR_3643
616,HMR_10036,HMR_2752
617,HMR_3654,HMR_2633
618,HMR_2602,HMR_2923
619,HMR_3550,HMR_2602
620,HMR_3579,HMR_2602
621,HMR_3669,HMR_2602
622,HMR_3635,HMR_2602
623,HMR_2693,HMR_2602
624,HMR_2838,HMR_2602
625,HMR_2846,HMR_2602
626,HMR_2602,HMR_2690
627,C181CPT1,HMR_0341
628,HMR_2832,HMR_2602
629,HMR_3567,HMR_2602
630,HMR_2850,HMR_2602
631,HMR_3566,HMR_2602
632,HMR_3556,HMR_2602
633,HMR_2602,HMR_3647
634,HMR_3657,HMR_2602
635,RE3174R,HMR_2526
636,HMR_3670,HMR_2602
637,HMR_2602,HMR_3571
638,HMR_3654,HMR_2602
639,HMR_0192,C181CPT1
640,HMR_3642,HMR_2602
641,HMR_3644,HMR_2602
642,HMR_3626,HMR_2602
643,HMR_2809,HMR_2602
644,HMR_3542,HMR_2602
645,HMR_3591,HMR_2602
646,HMR_2672,HMR_2602
647,HMR_2602,HMR_2915
648,HMR_2602,HMR_3574
649,HMR_10037,HMR_2602
650,HMR_0309,C181CPT1
651,HMR_3663,HMR_2602
652,HMR_10036,HMR_5148
653,HMR_3562,HMR_2602
654,HMR_2602,HMR_2708
655,C181CPT1,HMR_0283
656,HMR_2602,HMR_2909
657,C181CPT1,HMR_0437
658,HMR_0313,C181CPT1
659,HMR_0305,C181CPT1
660,HMR_0345,C181CPT1
661,C181CPT1,HMR_0433
662,HMR_3651,HMR_2602
663,HMR_0381,C181CPT1
664,C181CPT1,HMR_0279
665,C181CPT1,HMR_0204
666,HMR_3681,HMR_2602
667,HMR_2602,HMR_3683
668,HMR_3555,HMR_2602
669,HMR_2794,HMR_2602
670,HMR_0271,C181CPT1
671,HMR_2602,HMR_3561
672,HMR_2475,HMR_2785
673,HMR_2752,HMR_2602
674,HMR_3678,HMR_2602
675,HMR_3679,HMR_2602
676,C181CPT1,HMR_0289
677,HMR_3667,HMR_2602
678,HMR_2602,HMR_3637
679,C181CPT1,HMR_0255
680,C181CPT1,HMR_0389
681,C181CPT1,HMR_0421
682,HMR_0589,HMR_3849
683,HMR_2602,HMR_3544
684,HMR_2602,HMR_2800
685,HMR_2326,RE3235R
686,C181CPT1,HMR_0331
687,HMR_0429,C181CPT1
688,HMR_2602,HMR_3593
689,HMR_2906,HMR_2602
690,HMR_2830,HMR_2602
691,HMR_3625,HMR_2602
692,HMR_10036,HMR_3628
693,HMR_0188,C181CPT1
694,HMR_3587,HMR_2602
695,HMR_2602,HMR_2899
696,HMR_2602,HMR_2798
697,C181CPT1,HMR_0319
698,HMR_2602,HMR_3580
699,HMR_3538,HMR_2602
700,HMR_0623,HMR_8238
701,HMR_2602,HMR_3648
702,HMR_0393,C181CPT1
703,HMR_2602,HMR_2699
704,HMR_2929,HMR_2602
705,HMR_3656,HMR_2602
706,HMR_2812,HMR_2602
707,HMR_3677,HMR_2602
708,C181CPT1,HMR_0417
709,HMR_2602,HMR_3585
710,HMR_2602,HMR_3655
711,HMR_2602,HMR_2844
712,HMR_3592,HMR_2602
713,HMR_3672,HMR_2602
714,HMR_2602,HMR_3583
715,HMR_0323,C181CPT1
716,HMR_3666,HMR_2602
